Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
25 Lleida;0-15 años;Españoles;Hombres;2019;28.783
25 Lleida;0-15 años;Españoles;Mujeres;2021;26.824
25 Lleida;0-15 años;Españoles;Mujeres;2020;27.246
25 Lleida;0-15 años;Españoles;Mujeres;2019;27.569
25 Lleida;0-15 años;Extranjeros;Ambos sexos;2021;14.484
25 Lleida;0-15 años;Extranjeros;Ambos sexos;2020;14.238
25 Lleida;0-15 años;Extranjeros;Ambos sexos;2019;13.531
25 Lleida;0-15 años;Extranjeros;Hombres;2021;7.536
25 Lleida;0-15 años;Extranjeros;Hombres;2020;7.428
25 Lleida;0-15 años;Extranjeros;Hombres;2019;7.067
25 Lleida;0-15 años;Extranjeros;Mujeres;2021;6.948
25 Lleida;0-15 años;Extranjeros;Mujeres;2020;6.810
25 Lleida;0-15 años;Extranjeros;Mujeres;2019;6.464
25 Lleida;0-15 años;% Extranjeros;Ambos sexos;2021;20,89
25 Lleida;0-15 años;% Extranjeros;Ambos sexos;2020;20,36
25 Lleida;0-15 años;% Extranjeros;Ambos sexos;2019;19,36
25 Lleida;0-15 años;% Extranjeros;Hombres;2021;21,19
25 Lleida;0-15 años;% Extranjeros;Hombres;2020;20,71
25 Lleida;0-15 años;% Extranjeros;Hombres;2019;19,71
25 Lleida;0-15 años;% Extranjeros;Mujeres;2021;20,57
25 Lleida;0-15 años;% Extranjeros;Mujeres;2020;20,00
25 Lleida;0-15 años;% Extranjeros;Mujeres;2019;18,99
25 Lleida;16-64 años;TOTAL;Ambos sexos;2021;284.553
25 Lleida;16-64 años;TOTAL;Ambos sexos;2020;283.434
25 Lleida;16-64 años;TOTAL;Ambos sexos;2019;280.895
25 Lleida;16-64 años;TOTAL;Hombres;2021;150.426
25 Lleida;16-64 años;TOTAL;Hombres;2020;149.655
25 Lleida;16-64 años;TOTAL;Hombres;2019;147.819
25 Lleida;16-64 años;TOTAL;Mujeres;2021;134.127
25 Lleida;16-64 años;TOTAL;Mujeres;2020;133.779
25 Lleida;16-64 años;TOTAL;Mujeres;2019;133.076
25 Lleida;16-64 años;Españoles;Ambos sexos;2021;219.634
25 Lleida;16-64 años;Españoles;Ambos sexos;2020;219.659
25 Lleida;16-64 años;Españoles;Ambos sexos;2019;220.337
25 Lleida;16-64 años;Españoles;Hombres;2021;112.903
25 Lleida;16-64 años;Españoles;Hombres;2020;112.990
25 Lleida;16-64 años;Españoles;Hombres;2019;113.309
25 Lleida;16-64 años;Españoles;Mujeres;2021;106.731
25 Lleida;16-64 años;Españoles;Mujeres;2020;106.669
25 Lleida;16-64 años;Españoles;Mujeres;2019;107.028
25 Lleida;16-64 años;Extranjeros;Ambos sexos;2021;64.919
25 Lleida;16-64 años;Extranjeros;Ambos sexos;2020;63.775
25 Lleida;16-64 años;Extranjeros;Ambos sexos;2019;60.558
25 Lleida;16-64 años;Extranjeros;Hombres;2021;37.523
25 Lleida;16-64 años;Extranjeros;Hombres;2020;36.665
25 Lleida;16-64 años;Extranjeros;Hombres;2019;34.510
25 Lleida;16-64 años;Extranjeros;Mujeres;2021;27.396
25 Lleida;16-64 años;Extranjeros;Mujeres;2020;27.110
25 Lleida;16-64 años;Extranjeros;Mujeres;2019;26.048
25 Lleida;16-64 años;% Extranjeros;Ambos sexos;2021;22,81
25 Lleida;16-64 años;% Extranjeros;Ambos sexos;2020;22,50
25 Lleida;16-64 años;% Extranjeros;Ambos sexos;2019;21,56
25 Lleida;16-64 años;% Extranjeros;Hombres;2021;24,94
25 Lleida;16-64 años;% Extranjeros;Hombres;2020;24,50
25 Lleida;16-64 años;% Extranjeros;Hombres;2019;23,35
25 Lleida;16-64 años;% Extranjeros;Mujeres;2021;20,43
25 Lleida;16-64 años;% Extranjeros;Mujeres;2020;20,26
25 Lleida;16-64 años;% Extranjeros;Mujeres;2019;19,57
25 Lleida;65 y más;TOTAL;Ambos sexos;2021;85.836
25 Lleida;65 y más;TOTAL;Ambos sexos;2020;85.162
25 Lleida;65 y más;TOTAL;Ambos sexos;2019;84.152
25 Lleida;65 y más;TOTAL;Hombres;2021;38.164
25 Lleida;65 y más;TOTAL;Hombres;2020;37.803
25 Lleida;65 y más;TOTAL;Hombres;2019;37.209
25 Lleida;65 y más;TOTAL;Mujeres;2021;47.672
25 Lleida;65 y más;TOTAL;Mujeres;2020;47.359
25 Lleida;65 y más;TOTAL;Mujeres;2019;46.943
25 Lleida;65 y más;Españoles;Ambos sexos;2021;83.847
25 Lleida;65 y más;Españoles;Ambos sexos;2020;83.342
25 Lleida;65 y más;Españoles;Ambos sexos;2019;82.599
25 Lleida;65 y más;Españoles;Hombres;2021;37.246
25 Lleida;65 y más;Españoles;Hombres;2020;36.992
25 Lleida;65 y más;Españoles;Hombres;2019;36.525
25 Lleida;65 y más;Españoles;Mujeres;2021;46.601
25 Lleida;65 y más;Españoles;Mujeres;2020;46.350
25 Lleida;65 y más;Españoles;Mujeres;2019;46.074
25 Lleida;65 y más;Extranjeros;Ambos sexos;2021;1.989
25 Lleida;65 y más;Extranjeros;Ambos sexos;2020;1.820
25 Lleida;65 y más;Extranjeros;Ambos sexos;2019;1.553
25 Lleida;65 y más;Extranjeros;Hombres;2021;918
25 Lleida;65 y más;Extranjeros;Hombres;2020;811
25 Lleida;65 y más;Extranjeros;Hombres;2019;684
25 Lleida;65 y más;Extranjeros;Mujeres;2021;1.071
25 Lleida;65 y más;Extranjeros;Mujeres;2020;1.009
25 Lleida;65 y más;Extranjeros;Mujeres;2019;869
25 Lleida;65 y más;% Extranjeros;Ambos sexos;2021;2,32
25 Lleida;65 y más;% Extranjeros;Ambos sexos;2020;2,14
25 Lleida;65 y más;% Extranjeros;Ambos sexos;2019;1,85
25 Lleida;65 y más;% Extranjeros;Hombres;2021;2,41
25 Lleida;65 y más;% Extranjeros;Hombres;2020;2,15
25 Lleida;65 y más;% Extranjeros;Hombres;2019;1,84
25 Lleida;65 y más;% Extranjeros;Mujeres;2021;2,25
25 Lleida;65 y más;% Extranjeros;Mujeres;2020;2,13
25 Lleida;65 y más;% Extranjeros;Mujeres;2019;1,85
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2021;326.013
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2020;327.946
27 Lugo;TOTAL EDADES;TOTAL;Ambos sexos;2019;329.587
27 Lugo;TOTAL EDADES;TOTAL;Hombres;2021;157.892
27 Lugo;TOTAL EDADES;TOTAL;Hombres;2020;158.842
27 Lugo;TOTAL EDADES;TOTAL;Hombres;2019;159.686
27 Lugo;TOTAL EDADES;TOTAL;Mujeres;2021;168.121
27 Lugo;TOTAL EDADES;TOTAL;Mujeres;2020;169.104
27 Lugo;TOTAL EDADES;TOTAL;Mujeres;2019;169.901
27 Lugo;TOTAL EDADES;Españoles;Ambos sexos;2021;309.500
27 Lugo;TOTAL EDADES;Españoles;Ambos sexos;2020;311.793
27 Lugo;TOTAL EDADES;Españoles;Ambos sexos;2019;315.003
27 Lugo;TOTAL EDADES;Españoles;Hombres;2021;149.630
27 Lugo;TOTAL EDADES;Españoles;Hombres;2020;150.736
27 Lugo;TOTAL EDADES;Españoles;Hombres;2019;152.293
27 Lugo;TOTAL EDADES;Españoles;Mujeres;2021;159.870
27 Lugo;TOTAL EDADES;Españoles;Mujeres;2020;161.057
27 Lugo;TOTAL EDADES;Españoles;Mujeres;2019;162.710
27 Lugo;TOTAL EDADES;Extranjeros;Ambos sexos;2021;16.513
27 Lugo;TOTAL EDADES;Extranjeros;Ambos sexos;2020;16.153
27 Lugo;TOTAL EDADES;Extranjeros;Ambos sexos;2019;14.584
27 Lugo;TOTAL EDADES;Extranjeros;Hombres;2021;8.262
27 Lugo;TOTAL EDADES;Extranjeros;Hombres;2020;8.106
27 Lugo;TOTAL EDADES;Extranjeros;Hombres;2019;7.393
27 Lugo;TOTAL EDADES;Extranjeros;Mujeres;2021;8.251
27 Lugo;TOTAL EDADES;Extranjeros;Mujeres;2020;8.047
27 Lugo;TOTAL EDADES;Extranjeros;Mujeres;2019;7.191
27 Lugo;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;5,07
27 Lugo;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;4,93
27 Lugo;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;4,42
27 Lugo;TOTAL EDADES;% Extranjeros;Hombres;2021;5,23
27 Lugo;TOTAL EDADES;% Extranjeros;Hombres;2020;5,10
27 Lugo;TOTAL EDADES;% Extranjeros;Hombres;2019;4,63
27 Lugo;TOTAL EDADES;% Extranjeros;Mujeres;2021;4,91
27 Lugo;TOTAL EDADES;% Extranjeros;Mujeres;2020;4,76
27 Lugo;TOTAL EDADES;% Extranjeros;Mujeres;2019;4,23
27 Lugo;0-15 años;TOTAL;Ambos sexos;2021;34.912
27 Lugo;0-15 años;TOTAL;Ambos sexos;2020;35.340
27 Lugo;0-15 años;TOTAL;Ambos sexos;2019;35.667
27 Lugo;0-15 años;TOTAL;Hombres;2021;17.738
27 Lugo;0-15 años;TOTAL;Hombres;2020;17.999
27 Lugo;0-15 años;TOTAL;Hombres;2019;18.068
27 Lugo;0-15 años;TOTAL;Mujeres;2021;17.174
27 Lugo;0-15 años;TOTAL;Mujeres;2020;17.341
27 Lugo;0-15 años;TOTAL;Mujeres;2019;17.599
27 Lugo;0-15 años;Españoles;Ambos sexos;2021;32.537
27 Lugo;0-15 años;Españoles;Ambos sexos;2020;32.969
27 Lugo;0-15 años;Españoles;Ambos sexos;2019;33.526
27 Lugo;0-15 años;Españoles;Hombres;2021;16.550
27 Lugo;0-15 años;Españoles;Hombres;2020;16.811
27 Lugo;0-15 años;Españoles;Hombres;2019;17.022
27 Lugo;0-15 años;Españoles;Mujeres;2021;15.987
27 Lugo;0-15 años;Españoles;Mujeres;2020;16.158
27 Lugo;0-15 años;Españoles;Mujeres;2019;16.504
27 Lugo;0-15 años;Extranjeros;Ambos sexos;2021;2.375
27 Lugo;0-15 años;Extranjeros;Ambos sexos;2020;2.371
27 Lugo;0-15 años;Extranjeros;Ambos sexos;2019;2.141
27 Lugo;0-15 años;Extranjeros;Hombres;2021;1.188
27 Lugo;0-15 años;Extranjeros;Hombres;2020;1.188
27 Lugo;0-15 años;Extranjeros;Hombres;2019;1.046
27 Lugo;0-15 años;Extranjeros;Mujeres;2021;1.187
27 Lugo;0-15 años;Extranjeros;Mujeres;2020;1.183
27 Lugo;0-15 años;Extranjeros;Mujeres;2019;1.095
27 Lugo;0-15 años;% Extranjeros;Ambos sexos;2021;6,80
27 Lugo;0-15 años;% Extranjeros;Ambos sexos;2020;6,71
27 Lugo;0-15 años;% Extranjeros;Ambos sexos;2019;6,00
27 Lugo;0-15 años;% Extranjeros;Hombres;2021;6,70
27 Lugo;0-15 años;% Extranjeros;Hombres;2020;6,60
27 Lugo;0-15 años;% Extranjeros;Hombres;2019;5,79
27 Lugo;0-15 años;% Extranjeros;Mujeres;2021;6,91
27 Lugo;0-15 años;% Extranjeros;Mujeres;2020;6,82
27 Lugo;0-15 años;% Extranjeros;Mujeres;2019;6,22
27 Lugo;16-64 años;TOTAL;Ambos sexos;2021;194.602
27 Lugo;16-64 años;TOTAL;Ambos sexos;2020;196.387
27 Lugo;16-64 años;TOTAL;Ambos sexos;2019;197.916
27 Lugo;16-64 años;TOTAL;Hombres;2021;97.561
27 Lugo;16-64 años;TOTAL;Hombres;2020;98.588
27 Lugo;16-64 años;TOTAL;Hombres;2019;99.595
27 Lugo;16-64 años;TOTAL;Mujeres;2021;97.041
27 Lugo;16-64 años;TOTAL;Mujeres;2020;97.799
27 Lugo;16-64 años;TOTAL;Mujeres;2019;98.321
27 Lugo;16-64 años;Españoles;Ambos sexos;2021;181.233
27 Lugo;16-64 años;Españoles;Ambos sexos;2020;183.319
27 Lugo;16-64 años;Españoles;Ambos sexos;2019;186.083
27 Lugo;16-64 años;Españoles;Hombres;2021;90.821
27 Lugo;16-64 años;Españoles;Hombres;2020;91.988
27 Lugo;16-64 años;Españoles;Hombres;2019;93.522
27 Lugo;16-64 años;Españoles;Mujeres;2021;90.412
27 Lugo;16-64 años;Españoles;Mujeres;2020;91.331
27 Lugo;16-64 años;Españoles;Mujeres;2019;92.561
27 Lugo;16-64 años;Extranjeros;Ambos sexos;2021;13.369
27 Lugo;16-64 años;Extranjeros;Ambos sexos;2020;13.068
27 Lugo;16-64 años;Extranjeros;Ambos sexos;2019;11.833
27 Lugo;16-64 años;Extranjeros;Hombres;2021;6.740
27 Lugo;16-64 años;Extranjeros;Hombres;2020;6.600
27 Lugo;16-64 años;Extranjeros;Hombres;2019;6.073
27 Lugo;16-64 años;Extranjeros;Mujeres;2021;6.629
27 Lugo;16-64 años;Extranjeros;Mujeres;2020;6.468
27 Lugo;16-64 años;Extranjeros;Mujeres;2019;5.760
27 Lugo;16-64 años;% Extranjeros;Ambos sexos;2021;6,87
27 Lugo;16-64 años;% Extranjeros;Ambos sexos;2020;6,65
27 Lugo;16-64 años;% Extranjeros;Ambos sexos;2019;5,98
27 Lugo;16-64 años;% Extranjeros;Hombres;2021;6,91
27 Lugo;16-64 años;% Extranjeros;Hombres;2020;6,69
27 Lugo;16-64 años;% Extranjeros;Hombres;2019;6,10
27 Lugo;16-64 años;% Extranjeros;Mujeres;2021;6,83
27 Lugo;16-64 años;% Extranjeros;Mujeres;2020;6,61
27 Lugo;16-64 años;% Extranjeros;Mujeres;2019;5,86
27 Lugo;65 y más;TOTAL;Ambos sexos;2021;96.499
27 Lugo;65 y más;TOTAL;Ambos sexos;2020;96.219
27 Lugo;65 y más;TOTAL;Ambos sexos;2019;96.004
27 Lugo;65 y más;TOTAL;Hombres;2021;42.593
27 Lugo;65 y más;TOTAL;Hombres;2020;42.255
27 Lugo;65 y más;TOTAL;Hombres;2019;42.023
27 Lugo;65 y más;TOTAL;Mujeres;2021;53.906
27 Lugo;65 y más;TOTAL;Mujeres;2020;53.964
27 Lugo;65 y más;TOTAL;Mujeres;2019;53.981
27 Lugo;65 y más;Españoles;Ambos sexos;2021;95.730
27 Lugo;65 y más;Españoles;Ambos sexos;2020;95.505
27 Lugo;65 y más;Españoles;Ambos sexos;2019;95.394
27 Lugo;65 y más;Españoles;Hombres;2021;42.259
27 Lugo;65 y más;Españoles;Hombres;2020;41.937
27 Lugo;65 y más;Españoles;Hombres;2019;41.749
27 Lugo;65 y más;Españoles;Mujeres;2021;53.471
27 Lugo;65 y más;Españoles;Mujeres;2020;53.568
27 Lugo;65 y más;Españoles;Mujeres;2019;53.645
27 Lugo;65 y más;Extranjeros;Ambos sexos;2021;769
27 Lugo;65 y más;Extranjeros;Ambos sexos;2020;714
27 Lugo;65 y más;Extranjeros;Ambos sexos;2019;610
27 Lugo;65 y más;Extranjeros;Hombres;2021;334
27 Lugo;65 y más;Extranjeros;Hombres;2020;318
27 Lugo;65 y más;Extranjeros;Hombres;2019;274
27 Lugo;65 y más;Extranjeros;Mujeres;2021;435
27 Lugo;65 y más;Extranjeros;Mujeres;2020;396
27 Lugo;65 y más;Extranjeros;Mujeres;2019;336
27 Lugo;65 y más;% Extranjeros;Ambos sexos;2021;0,80
27 Lugo;65 y más;% Extranjeros;Ambos sexos;2020;0,74
27 Lugo;65 y más;% Extranjeros;Ambos sexos;2019;0,64
27 Lugo;65 y más;% Extranjeros;Hombres;2021;0,78
27 Lugo;65 y más;% Extranjeros;Hombres;2020;0,75
27 Lugo;65 y más;% Extranjeros;Hombres;2019;0,65
27 Lugo;65 y más;% Extranjeros;Mujeres;2021;0,81
27 Lugo;65 y más;% Extranjeros;Mujeres;2020;0,73
27 Lugo;65 y más;% Extranjeros;Mujeres;2019;0,62
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2021;6.751.251
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2020;6.779.888
28 Madrid;TOTAL EDADES;TOTAL;Ambos sexos;2019;6.663.394
28 Madrid;TOTAL EDADES;TOTAL;Hombres;2021;3.229.700
28 Madrid;TOTAL EDADES;TOTAL;Hombres;2020;3.243.793
28 Madrid;TOTAL EDADES;TOTAL;Hombres;2019;3.187.312
28 Madrid;TOTAL EDADES;TOTAL;Mujeres;2021;3.521.551
28 Madrid;TOTAL EDADES;TOTAL;Mujeres;2020;3.536.095
28 Madrid;TOTAL EDADES;TOTAL;Mujeres;2019;3.476.082
28 Madrid;TOTAL EDADES;Españoles;Ambos sexos;2021;5.796.129
28 Madrid;TOTAL EDADES;Españoles;Ambos sexos;2020;5.824.174
28 Madrid;TOTAL EDADES;Españoles;Ambos sexos;2019;5.781.575
28 Madrid;TOTAL EDADES;Españoles;Hombres;2021;2.778.318
28 Madrid;TOTAL EDADES;Españoles;Hombres;2020;2.793.003
28 Madrid;TOTAL EDADES;Españoles;Hombres;2019;2.771.228
28 Madrid;TOTAL EDADES;Españoles;Mujeres;2021;3.017.811
28 Madrid;TOTAL EDADES;Españoles;Mujeres;2020;3.031.171
28 Madrid;TOTAL EDADES;Españoles;Mujeres;2019;3.010.347
28 Madrid;TOTAL EDADES;Extranjeros;Ambos sexos;2021;955.122
28 Madrid;TOTAL EDADES;Extranjeros;Ambos sexos;2020;955.714
28 Madrid;TOTAL EDADES;Extranjeros;Ambos sexos;2019;881.819
28 Madrid;TOTAL EDADES;Extranjeros;Hombres;2021;451.382
28 Madrid;TOTAL EDADES;Extranjeros;Hombres;2020;450.790
28 Madrid;TOTAL EDADES;Extranjeros;Hombres;2019;416.084
28 Madrid;TOTAL EDADES;Extranjeros;Mujeres;2021;503.740
28 Madrid;TOTAL EDADES;Extranjeros;Mujeres;2020;504.924
28 Madrid;TOTAL EDADES;Extranjeros;Mujeres;2019;465.735
28 Madrid;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;14,15
28 Madrid;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;14,10
28 Madrid;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;13,23
28 Madrid;TOTAL EDADES;% Extranjeros;Hombres;2021;13,98
28 Madrid;TOTAL EDADES;% Extranjeros;Hombres;2020;13,90
28 Madrid;TOTAL EDADES;% Extranjeros;Hombres;2019;13,05
28 Madrid;TOTAL EDADES;% Extranjeros;Mujeres;2021;14,30
28 Madrid;TOTAL EDADES;% Extranjeros;Mujeres;2020;14,28
28 Madrid;TOTAL EDADES;% Extranjeros;Mujeres;2019;13,40
28 Madrid;0-15 años;TOTAL;Ambos sexos;2021;1.061.290
28 Madrid;0-15 años;TOTAL;Ambos sexos;2020;1.084.265
28 Madrid;0-15 años;TOTAL;Ambos sexos;2019;1.085.284
28 Madrid;0-15 años;TOTAL;Hombres;2021;544.274
28 Madrid;0-15 años;TOTAL;Hombres;2020;556.435
28 Madrid;0-15 años;TOTAL;Hombres;2019;556.793
28 Madrid;0-15 años;TOTAL;Mujeres;2021;517.016
28 Madrid;0-15 años;TOTAL;Mujeres;2020;527.830
28 Madrid;0-15 años;TOTAL;Mujeres;2019;528.491
28 Madrid;0-15 años;Españoles;Ambos sexos;2021;924.784
28 Madrid;0-15 años;Españoles;Ambos sexos;2020;946.935
28 Madrid;0-15 años;Españoles;Ambos sexos;2019;956.566
28 Madrid;0-15 años;Españoles;Hombres;2021;474.314
28 Madrid;0-15 años;Españoles;Hombres;2020;486.075
28 Madrid;0-15 años;Españoles;Hombres;2019;490.790
28 Madrid;0-15 años;Españoles;Mujeres;2021;450.470
28 Madrid;0-15 años;Españoles;Mujeres;2020;460.860
28 Madrid;0-15 años;Españoles;Mujeres;2019;465.776
28 Madrid;0-15 años;Extranjeros;Ambos sexos;2021;136.506
28 Madrid;0-15 años;Extranjeros;Ambos sexos;2020;137.330
28 Madrid;0-15 años;Extranjeros;Ambos sexos;2019;128.718
28 Madrid;0-15 años;Extranjeros;Hombres;2021;69.960
28 Madrid;0-15 años;Extranjeros;Hombres;2020;70.360
28 Madrid;0-15 años;Extranjeros;Hombres;2019;66.003
28 Madrid;0-15 años;Extranjeros;Mujeres;2021;66.546
28 Madrid;0-15 años;Extranjeros;Mujeres;2020;66.970
28 Madrid;0-15 años;Extranjeros;Mujeres;2019;62.715
28 Madrid;0-15 años;% Extranjeros;Ambos sexos;2021;12,86
28 Madrid;0-15 años;% Extranjeros;Ambos sexos;2020;12,67
28 Madrid;0-15 años;% Extranjeros;Ambos sexos;2019;11,86
28 Madrid;0-15 años;% Extranjeros;Hombres;2021;12,85
28 Madrid;0-15 años;% Extranjeros;Hombres;2020;12,64
28 Madrid;0-15 años;% Extranjeros;Hombres;2019;11,85
28 Madrid;0-15 años;% Extranjeros;Mujeres;2021;12,87
28 Madrid;0-15 años;% Extranjeros;Mujeres;2020;12,69
28 Madrid;0-15 años;% Extranjeros;Mujeres;2019;11,87
28 Madrid;16-64 años;TOTAL;Ambos sexos;2021;4.476.865
28 Madrid;16-64 años;TOTAL;Ambos sexos;2020;4.486.885
28 Madrid;16-64 años;TOTAL;Ambos sexos;2019;4.397.071
28 Madrid;16-64 años;TOTAL;Hombres;2021;2.182.460
28 Madrid;16-64 años;TOTAL;Hombres;2020;2.184.908
28 Madrid;16-64 años;TOTAL;Hombres;2019;2.139.949
28 Madrid;16-64 años;TOTAL;Mujeres;2021;2.294.405
28 Madrid;16-64 años;TOTAL;Mujeres;2020;2.301.977
28 Madrid;16-64 años;TOTAL;Mujeres;2019;2.257.122
28 Madrid;16-64 años;Españoles;Ambos sexos;2021;3.699.005
28 Madrid;16-64 años;Españoles;Ambos sexos;2020;3.707.403
28 Madrid;16-64 años;Españoles;Ambos sexos;2019;3.677.851
28 Madrid;16-64 años;Españoles;Hombres;2021;1.816.835
28 Madrid;16-64 años;Españoles;Hombres;2020;1.819.532
28 Madrid;16-64 años;Españoles;Hombres;2019;1.802.900
28 Madrid;16-64 años;Españoles;Mujeres;2021;1.882.170
28 Madrid;16-64 años;Españoles;Mujeres;2020;1.887.871
28 Madrid;16-64 años;Españoles;Mujeres;2019;1.874.951
28 Madrid;16-64 años;Extranjeros;Ambos sexos;2021;777.860
28 Madrid;16-64 años;Extranjeros;Ambos sexos;2020;779.482
28 Madrid;16-64 años;Extranjeros;Ambos sexos;2019;719.220
28 Madrid;16-64 años;Extranjeros;Hombres;2021;365.625
28 Madrid;16-64 años;Extranjeros;Hombres;2020;365.376
28 Madrid;16-64 años;Extranjeros;Hombres;2019;337.049
28 Madrid;16-64 años;Extranjeros;Mujeres;2021;412.235
28 Madrid;16-64 años;Extranjeros;Mujeres;2020;414.106
28 Madrid;16-64 años;Extranjeros;Mujeres;2019;382.171
28 Madrid;16-64 años;% Extranjeros;Ambos sexos;2021;17,38
28 Madrid;16-64 años;% Extranjeros;Ambos sexos;2020;17,37
28 Madrid;16-64 años;% Extranjeros;Ambos sexos;2019;16,36
28 Madrid;16-64 años;% Extranjeros;Hombres;2021;16,75
28 Madrid;16-64 años;% Extranjeros;Hombres;2020;16,72
28 Madrid;16-64 años;% Extranjeros;Hombres;2019;15,75
28 Madrid;16-64 años;% Extranjeros;Mujeres;2021;17,97
28 Madrid;16-64 años;% Extranjeros;Mujeres;2020;17,99
28 Madrid;16-64 años;% Extranjeros;Mujeres;2019;16,93
28 Madrid;65 y más;TOTAL;Ambos sexos;2021;1.213.096
28 Madrid;65 y más;TOTAL;Ambos sexos;2020;1.208.738
28 Madrid;65 y más;TOTAL;Ambos sexos;2019;1.181.039
28 Madrid;65 y más;TOTAL;Hombres;2021;502.966
28 Madrid;65 y más;TOTAL;Hombres;2020;502.450
28 Madrid;65 y más;TOTAL;Hombres;2019;490.570
28 Madrid;65 y más;TOTAL;Mujeres;2021;710.130
28 Madrid;65 y más;TOTAL;Mujeres;2020;706.288
28 Madrid;65 y más;TOTAL;Mujeres;2019;690.469
28 Madrid;65 y más;Españoles;Ambos sexos;2021;1.172.340
28 Madrid;65 y más;Españoles;Ambos sexos;2020;1.169.836
28 Madrid;65 y más;Españoles;Ambos sexos;2019;1.147.158
28 Madrid;65 y más;Españoles;Hombres;2021;487.169
28 Madrid;65 y más;Españoles;Hombres;2020;487.396
28 Madrid;65 y más;Españoles;Hombres;2019;477.538
28 Madrid;65 y más;Españoles;Mujeres;2021;685.171
28 Madrid;65 y más;Españoles;Mujeres;2020;682.440
28 Madrid;65 y más;Españoles;Mujeres;2019;669.620
28 Madrid;65 y más;Extranjeros;Ambos sexos;2021;40.756
28 Madrid;65 y más;Extranjeros;Ambos sexos;2020;38.902
28 Madrid;65 y más;Extranjeros;Ambos sexos;2019;33.881
28 Madrid;65 y más;Extranjeros;Hombres;2021;15.797
28 Madrid;65 y más;Extranjeros;Hombres;2020;15.054
28 Madrid;65 y más;Extranjeros;Hombres;2019;13.032
28 Madrid;65 y más;Extranjeros;Mujeres;2021;24.959
28 Madrid;65 y más;Extranjeros;Mujeres;2020;23.848
28 Madrid;65 y más;Extranjeros;Mujeres;2019;20.849
28 Madrid;65 y más;% Extranjeros;Ambos sexos;2021;3,36
28 Madrid;65 y más;% Extranjeros;Ambos sexos;2020;3,22
28 Madrid;65 y más;% Extranjeros;Ambos sexos;2019;2,87
28 Madrid;65 y más;% Extranjeros;Hombres;2021;3,14
28 Madrid;65 y más;% Extranjeros;Hombres;2020;3,00
28 Madrid;65 y más;% Extranjeros;Hombres;2019;2,66
28 Madrid;65 y más;% Extranjeros;Mujeres;2021;3,51
28 Madrid;65 y más;% Extranjeros;Mujeres;2020;3,38
28 Madrid;65 y más;% Extranjeros;Mujeres;2019;3,02
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.695.651
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.685.920
29 Málaga;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.661.785
29 Málaga;TOTAL EDADES;TOTAL;Hombres;2021;829.976
29 Málaga;TOTAL EDADES;TOTAL;Hombres;2020;825.450
29 Málaga;TOTAL EDADES;TOTAL;Hombres;2019;814.349
29 Málaga;TOTAL EDADES;TOTAL;Mujeres;2021;865.675
29 Málaga;TOTAL EDADES;TOTAL;Mujeres;2020;860.470
29 Málaga;TOTAL EDADES;TOTAL;Mujeres;2019;847.436
29 Málaga;TOTAL EDADES;Españoles;Ambos sexos;2021;1.422.650
29 Málaga;TOTAL EDADES;Españoles;Ambos sexos;2020;1.415.714
29 Málaga;TOTAL EDADES;Españoles;Ambos sexos;2019;1.408.632
29 Málaga;TOTAL EDADES;Españoles;Hombres;2021;697.350
29 Málaga;TOTAL EDADES;Españoles;Hombres;2020;694.161
29 Málaga;TOTAL EDADES;Españoles;Hombres;2019;690.934
29 Málaga;TOTAL EDADES;Españoles;Mujeres;2021;725.300
29 Málaga;TOTAL EDADES;Españoles;Mujeres;2020;721.553
29 Málaga;TOTAL EDADES;Españoles;Mujeres;2019;717.698
29 Málaga;TOTAL EDADES;Extranjeros;Ambos sexos;2021;273.001
29 Málaga;TOTAL EDADES;Extranjeros;Ambos sexos;2020;270.206
29 Málaga;TOTAL EDADES;Extranjeros;Ambos sexos;2019;253.153
29 Málaga;TOTAL EDADES;Extranjeros;Hombres;2021;132.626
29 Málaga;TOTAL EDADES;Extranjeros;Hombres;2020;131.289
29 Málaga;TOTAL EDADES;Extranjeros;Hombres;2019;123.415
29 Málaga;TOTAL EDADES;Extranjeros;Mujeres;2021;140.375
29 Málaga;TOTAL EDADES;Extranjeros;Mujeres;2020;138.917
29 Málaga;TOTAL EDADES;Extranjeros;Mujeres;2019;129.738
29 Málaga;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;16,10
29 Málaga;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;16,03
29 Málaga;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;15,23
29 Málaga;TOTAL EDADES;% Extranjeros;Hombres;2021;15,98
